iter	Passed	Remaining
557	5619	4451
558	5629	4441
559	5639	4430
560	5649	4420
561	5659	4410
562	5669	4400
563	5679	4390
564	5688	4379
565	5698	4369
566	5709	4359
567	5718	4349
568	5728	4339
569	5739	4329
570	5748	4319
571	5759	4309
572	5769	4299
573	5778	4288
574	5788	4278
575	5798	4268
576	5809	4258
577	5818	4248
578	5828	4237
579	5838	4228
580	5848	4217
581	5858	4207
582	5867	4197
583	5878	4187
584	5888	4177
585	5898	4167
586	5908	4156
587	5918	4147
588	5930	4138
589	5941	4128
590	5950	4118
591	5960	4108
592	5970	4097
593	5980	4087
594	5990	4077
595	6000	4067
596	6010	4057
597	6021	4047
598	6030	4037
599	6041	4027
600	6051	4017
601	6061	4007
602	6071	3997
603	6081	3986
604	6090	3976
605	6100	3966
606	6109	3955
607	6120	3945
608	6129	3935
609	6139	3925
610	6150	3915
611	6159	3905
612	6169	3895
613	6179	3884
614	6189	3874
615	6199	3864
616	6209	3854
617	6219	3844
618	6228	3833
619	6238	3823
620	6248	3813
621	6258	3803
622	6268	3793
623	6277	3782
624	6287	3772
625	6298	3762
626	6307	3752
627	6317	3742
628	6326	3731
629	6337	3722
630	6348	3712
631	6358	3702
632	6368	3692
633	6378	3681
634	6387	3671
635	6398	3662
636	6408	3651
637	6418	3641
638	6428	3631
639	6437	3621
640	6447	3611
641	6456	3600
642	6466	3590
643	6476	3580
644	6486	3569
645	6496	3559
646	6505	3549
647	6515	3539
648	6524	3528
649	6534	3518
650	6544	3508
651	6554	3498
652	6564	3488
653	6573	3477
654	6583	3467
655	6594	3458
656	6604	3447
657	6613	3437
658	6622	3427
659	6632	3416
660	6643	3407
661	6652	3396
662	6662	3386
663	6671	3376
664	6681	3365
665	6692	3356
666	6701	3345
667	6711	3335
668	6722	3326
669	6733	3316
670	6745	3307
671	6756	3297
672	6766	3287
673	6775	3277
674	6785	3267
675	6796	3257
676	6805	3246
677	6815	3236
678	6824	3226
679	6834	3216
680	6844	3206
681	6854	3196
682	6865	3186
683	6876	3176
684	6886	3166
685	6896	3156
686	6905	3146
687	6915	3136
688	6926	3126
689	6935	3116
690	6945	3106
691	6955	3095
692	6965	3085
693	6976	3075
694	6985	3065
695	6995	3055
696	7004	3045
697	7014	3035
698	7025	3025
699	7034	3014
700	7044	3004
701	7054	2994
702	7064	2984
703	7074	2974
704	7084	2964
705	7094	2954
706	7104	2944
707	7115	2934
708	7126	2925
709	7136	2914
710	7146	2904
711	7156	2894
712	7166	2884
713	7176	2874
714	7186	2864
715	7195	2854
716	7206	2844
717	7216	2834
718	7226	2824
719	7236	2814
720	7245	2803
721	7256	2794
722	7265	2783
723	7275	2773
724	7285	2763
725	7295	2753
726	7305	2743
727	7314	2733
728	7324	2723
729	7335	2712
730	7344	2702
731	7354	2692
732	7364	2682
733	7374	2672
734	7384	2662
735	7393	2652
736	7404	2642
737	7413	2631
738	7423	2621
739	7433	2611
740	7443	2601
741	7453	2591
742	7462	2581
743	7473	2571
744	7484	2561
745	7494	2551
746	7504	2541
747	7517	2532
748	7527	2522
749	7537	2512
750	7547	2502
751	7556	2492
752	7567	2482
753	7576	2471
754	7586	2461
755	7596	2451
756	7606	2441
757	7616	2431
758	7626	2421
759	7636	2411
760	7646	2401
761	7656	2391
762	7666	2381
763	7676	2371
